t,exact_real,exact_imag,sdp_real,sdp_imag,sdp_optimized_real,sdp_optimized_imag,positive_real,positive_imag
1.880000000000000115e+00,5.066894650380825427e-01,-6.937766867339538734e-01,5.066811811796571030e-01,-6.937653441893534279e-01,5.066891653615628321e-01,-6.937763003859531707e-01,5.066891653615628321e-01,-6.937763003859531707e-01
1.900000000000000133e+00,4.980526777302181074e-01,-6.964681930860543435e-01,4.980443867483244635e-01,-6.964565991213182983e-01,4.980523851737657659e-01,-6.964678081043057523e-01,4.980523851737657659e-01,-6.964678081043057523e-01
1.919999999999999929e+00,4.893986842111067714e-01,-6.990362766410929130e-01,4.893903912204501938e-01,-6.990244312857583076e-01,4.893983987622949616e-01,-6.990358931581317492e-01,4.893983987622949616e-01,-6.990358931581317492e-01
1.939999999999999947e+00,4.807293886712374342e-01,-7.014808660514264549e-01,4.807210987777510991e-01,-7.014687694294944320e-01,4.807291103120970299e-01,-7.014804841962192228e-01,4.807291103120970299e-01,-7.014804841962192228e-01
1.959999999999999964e+00,4.720466942796776588e-01,-7.038019208102828106e-01,4.720384125788211760e-01,-7.037895731399249621e-01,4.720464229870433015e-01,-7.038015407083855202e-01,4.720464229870433015e-01,-7.038015407083855202e-01
1.979999999999999982e+00,4.633525026675806568e-01,-7.059994312070282385e-01,4.633442342426462024e-01,-7.059868328002615323e-01,4.633522384134146632e-01,-7.059990529807436133e-01,4.633522384134146632e-01,-7.059990529807436133e-01
2.000000000000000000e+00,4.546487134128409102e-01,-7.080734182735711757e-01,4.546404633332665757e-01,-7.080605695359040164e-01,4.546484561645388056e-01,-7.080730420421061933e-01,4.546484561645388056e-01,-7.080730420421061933e-01
2.020000000000000018e+00,4.459372235260531392e-01,-7.100239337219309554e-01,4.459289968457459952e-01,-7.100108351519772709e-01,4.459369732467292069e-01,-7.100235596015519457e-01,4.459369732467292069e-01,-7.100235596015519457e-01
2.040000000000000036e+00,4.372199269379311581e-01,-7.118510598729961281e-01,4.372117286935982006e-01,-7.118377120620610343e-01,4.372196835866852260e-01,-7.118506879771818729e-01,4.372196835866852260e-01,-7.118506879771818729e-01
2.060000000000000053e+00,4.284987139883369434e-01,-7.135549095765059135e-01,4.284905491978256986e-01,-7.135413132081410703e-01,4.284984775205030183e-01,-7.135545400160975271e-01,4.284984775205030183e-01,-7.135545400160975271e-01
2.080000000000000071e+00,4.197754709170752330e-01,-7.151356261222880928e-01,4.197673445777250767e-01,-7.151217819718167501e-01,4.197752412844539815e-01,-7.151352590056364589e-01,4.197752412844539815e-01,-7.151352590056364589e-01
2.100000000000000089e+00,4.110520793566065367e-01,-7.165933831427893086e-01,4.110439964436102267e-01,-7.165792920768028207e-01,4.110518565076795583e-01,-7.165930185758984106e-01,4.110518565076795583e-01,-7.165930185758984106e-01
2.120000000000000107e+00,4.023304158268283248e-01,-7.179283845069374115e-01,4.023223812916046360e-01,-7.179140474827626628e-01,4.023301997069576030e-01,-7.179280225936042203e-01,4.023301997069576030e-01,-7.179280225936042203e-01
2.140000000000000124e+00,3.936123512320773843e-01,-7.191408642053792599e-01,3.936043700006553459e-01,-7.191262822705164481e-01,3.936121417836887515e-01,-7.191405050473280713e-01,3.936121417836887515e-01,-7.191405050473280713e-01
2.160000000000000142e+00,3.848997503605013915e-01,-7.202310862271353864e-01,3.848918273319172356e-01,-7.202162605186681610e-01,3.848995475232540042e-01,-7.202307299241493821e-01,3.848995475232540042e-01,-7.202307299241493821e-01
2.180000000000000160e+00,3.761944713859513567e-01,-7.211993444277232657e-01,3.761866114306574582e-01,-7.211842761716987793e-01,3.761942750968920723e-01,-7.211989910777681922e-01,3.761942750968920723e-01,-7.211989910777681922e-01
2.200000000000000178e+00,3.674983653725409360e-01,-7.220459623887935940e-01,3.674905733308284628e-01,-7.220306528995762418e-01,3.674981755662465877e-01,-7.220456120881394435e-01,3.674981755662465877e-01,-7.220456120881394435e-01
2.220000000000000195e+00,3.588132757820209351e-01,-7.227712932693375336e-01,3.588055564624559324e-01,-7.227557439489343816e-01,3.588130923907275061e-01,-7.227709461126720081e-01,3.588130923907275061e-01,-7.227709461126720081e-01
2.240000000000000213e+00,3.501410379841159992e-01,-7.233757196485177676e-01,3.501333961619895185e-01,-7.233599319858747823e-01,3.501408609378351966e-01,-7.233753757290544151e-01,3.501408609378351966e-01,-7.233753757290544151e-01
2.260000000000000231e+00,3.414834787699670970e-01,-7.238596533601781013e-01,3.414759191857607012e-01,-7.238436289304517324e-01,3.414833079965921003e-01,-7.238593127697596774e-01,3.414833079965921003e-01,-7.238593127697596774e-01
2.280000000000000249e+00,3.328424158688252366e-01,-7.242235353190988878e-01,3.328349432266908270e-01,-7.242072757828981189e-01,3.328422512942256772e-01,-7.242231981482926129e-01,3.328422512942256772e-01,-7.242231981482926129e-01
2.300000000000000266e+00,3.242196574681390775e-01,-7.244678353390540115e-01,3.242122764343945973e-01,-7.244513424416569869e-01,3.242194990162451940e-01,-7.244675016772417209e-01,3.242194990162451940e-01,-7.244675016772417209e-01
2.319999999999999840e+00,3.156170017371773273e-01,-7.245930519427380423e-01,3.156097169388192847e-01,-7.245763275132829362e-01,3.156168493300556266e-01,-7.245927218781992307e-01,3.156168493300556266e-01,-7.245927218781992307e-01
2.339999999999999858e+00,3.070362363543274742e-01,-7.245997121636333915e-01,3.070290523775587865e-01,-7.245827581142804119e-01,3.070360899122464571e-01,-7.245993857836213747e-01,3.070360899122464571e-01,-7.245993857836213747e-01
2.359999999999999876e+00,2.984791380382103010e-01,-7.244883713398816427e-01,2.984720594269864025e-01,-7.244711896649536076e-01,2.984789974796984158e-01,-7.244880487306932793e-01,2.984789974796984158e-01,-7.244880487306932793e-01
2.379999999999999893e+00,2.899474720827464602e-01,-7.242596129002389915e-01,2.899405033373380625e-01,-7.242422056753323734e-01,2.899473373246423402e-01,-7.242592941472778545e-01,2.899473373246423402e-01,-7.242592941472778545e-01
2.399999999999999911e+00,2.814429918963128885e-01,-7.239140481421855178e-01,2.814361374718872266e-01,-7.238964175232595055e-01,2.814428628538081512e-01,-7.239137333300171839e-01,2.814428628538081512e-01,-7.239137333300171839e-01
2.419999999999999929e+00,2.729674385451242857e-01,-7.234523160022690025e-01,2.729607028503441279e-01,-7.234344642247065860e-01,2.729673151317992819e-01,-7.234520052146696800e-01,2.729673151317992819e-01,-7.234520052146696800e-01
2.439999999999999947e+00,2.645225403009716647e-01,-7.228750828187600064e-01,2.645159276966136952e-01,-7.228570121964088546e-01,2.645224224288267312e-01,-7.228747761387589454e-01,2.645224224288267312e-01,-7.228747761387589454e-01
2.459999999999999964e+00,2.561100121934521412e-01,-7.221830420867044742e-01,2.561035269910444945e-01,-7.221647550108906133e-01,2.561098997729313043e-01,-7.221827395966189389e-01,2.561098997729313043e-01,-7.221827395966189389e-01
2.479999999999999982e+00,2.477315555668192226e-01,-7.213769142054560213e-01,2.477252020272983635e-01,-7.213584131439748637e-01,2.477314485068307925e-01,-7.213766159869188233e-01,2.477314485068307925e-01,-7.213766159869188233e-01
2.500000000000000000e+00,2.393888576415826031e-01,-7.204574462187735007e-01,2.393826399739703292e-01,-7.204387337148576709e-01,2.393887558495136902e-01,-7.204571523527542043e-01,2.393887558495136902e-01,-7.204571523527542043e-01
2.520000000000000018e+00,2.310835910809848903e-01,-7.194254115475753331e-01,2.310775134410863740e-01,-7.194064902188405108e-01,2.310834944627132292e-01,-7.194251221143946884e-01,2.310834944627132292e-01,-7.194251221143946884e-01
2.540000000000000036e+00,2.228174135624814145e-01,-7.182816097154418600e-01,2.228114800516030614e-01,-7.182624822528087538e-01,2.228173220223830797e-01,-7.182813247947789081e-01,2.228173220223830797e-01,-7.182813247947789081e-01
2.560000000000000053e+00,2.145919673543463246e-01,-7.170268660669559813e-01,2.145861820180360313e-01,-7.170075352335515406e-01,2.145918807953006990e-01,-7.170265857378498309e-01,2.145918807953006990e-01,-7.170265857378498309e-01
2.580000000000000071e+00,2.064088788975275424e-01,-7.156620314789827741e-01,2.064032457243355489e-01,-7.156425001090186422e-01,2.064087972209198152e-01,-7.156617558198257179e-01,2.064087972209198152e-01,-7.156617558198257179e-01
2.600000000000000089e+00,1.982697583928708096e-01,-7.141879820649796873e-01,1.982642813131330617e-01,-7.141682530626106695e-01,1.982696814985917544e-01,-7.141877111535060996e-01,1.982696814985917544e-01,-7.141877111535060996e-01
2.620000000000000107e+00,1.901761993938315132e-01,-7.126056188724435581e-01,1.901708822784756447e-01,-7.125856952106049969e-01,1.901761271802768771e-01,-7.126053527857110215e-01,1.901761271802768771e-01,-7.126053527857110215e-01
2.640000000000000124e+00,1.821297784047909984e-01,-7.109158675735915978e-01,1.821246250641643805e-01,-7.108957522928150974e-01,1.821297107688584216e-01,-7.109156063879563670e-01,1.821297107688584216e-01,-7.109156063879563670e-01
2.660000000000000142e+00,1.741320544850921692e-01,-7.091196781493804835e-01,1.741270686678134949e-01,-7.090993743565923157e-01,1.741319913221786031e-01,-7.091194219404677312e-01,1.741319913221786031e-01,-7.091194219404677312e-01
2.680000000000000160e+00,1.661845688589071168e-01,-7.072180245669745791e-01,1.661797542507412739e-01,-7.071975354342724396e-01,1.661845100629043559e-01,-7.072177734096413149e-01,1.661845100629043559e-01,-7.072177734096413149e-01
2.700000000000000178e+00,1.582888445310480507e-01,-7.052119044507633161e-01,1.582842047538043917e-01,-7.051912332141745399e-01,1.582887899943395127e-01,-7.052116584190569748e-01,1.582887899943395127e-01,-7.052116584190569748e-01
2.720000000000000195e+00,1.504463859088298883e-01,-7.031023387470434205e-01,1.504419245192853416e-01,-7.030814887052657669e-01,1.504463355222870058e-01,-7.031020979141545668e-01,1.504463355222870058e-01,-7.031020979141545668e-01
2.740000000000000213e+00,1.426586784300920285e-01,-7.008903713824745640e-01,1.426543989189377748e-01,-7.008693458955980171e-01,1.426586320830717514e-01,-7.008901358206852672e-01,1.426586320830717514e-01,-7.008901358206852672e-01
2.760000000000000231e+00,1.349271881974838105e-01,-6.985770689164249037e-01,1.349230939882966884e-01,-6.985558714046351536e-01,1.349271457778266348e-01,-6.985768386970504507e-01,1.349271457778266348e-01,-6.985768386970504507e-01
2.780000000000000249e+00,1.272533616191160732e-01,-6.961635201873160872e-01,1.272494560673557151e-01,-6.961421541295831350e-01,1.272533230131461801e-01,-6.961632953806436985e-01,1.272533230131461801e-01,-6.961632953806436985e-01
2.800000000000000266e+00,1.196386250556802366e-01,-6.936508359530922929e-01,1.196349114477105319e-01,-6.936293048858397370e-01,1.196385901482061725e-01,-6.936506166283145092e-01,1.196385901482061725e-01,-6.936506166283145092e-01
2.819999999999999840e+00,1.120843844741325757e-01,-6.910401485259246579e-01,1.120808660262693074e-01,-6.910184560416849919e-01,1.120843531484509020e-01,-6.910399347510683965e-01,1.120843531484509020e-01,-6.910399347510683965e-01
2.839999999999999858e+00,1.045920251080395685e-01,-6.883326114012767727e-01,1.045887049656234885e-01,-6.883107611473299192e-01,1.045919972459400243e-01,-6.883324032431297201e-01,1.045919972459400243e-01,-6.883324032431297201e-01
2.859999999999999876e+00,9.716291112468070090e-02,-6.855293988814518125e-01,9.715979236117652795e-02,-6.855073945584477801e-01,9.716288660645411301e-02,-6.855291964054823772e-01,9.716288660645411301e-02,-6.855291964054823772e-01
2.879999999999999893e+00,8.979838529899680788e-02,-6.826317056937412087e-01,8.979547091511919099e-02,-6.826095510543099820e-01,8.979836400344545777e-02,-6.826315089640181411e-01,8.979836400344545777e-02,-6.826315089640181411e-01
2.899999999999999911e+00,8.249976869447669947e-02,-6.796407466033069777e-01,8.249706161734188248e-02,-6.796184454506525308e-01,8.249975049892763201e-02,-6.796405556824139937e-01,8.249975049892763201e-02,-6.796405556824139937e-01
2.919999999999999929e+00,7.526836035106745926e-02,-6.765577560209188324e-01,7.526586343337238194e-02,-6.765353122074000414e-01,7.526834513138903893e-02,-6.765575709698664619e-01,7.526834513138903893e-02,-6.765575709698664619e-01
2.939999999999999947e+00,6.810543698019405623e-02,-6.733839876056749718e-01,6.810315299942208689e-02,-6.733614050313736499e-01,6.810542461081570131e-02,-6.733838084838107418e-01,6.810542461081570131e-02,-6.733838084838107418e-01
2.959999999999999964e+00,6.101225266697058586e-02,-6.701207138628400006e-01,6.101018432462437802e-02,-6.700979964741154982e-01,6.101224302090551416e-02,-6.701205407277555093e-01,6.101224302090551416e-02,-6.701205407277555093e-01
2.979999999999999982e+00,5.399003857968315279e-02,-6.667692257369254305e-01,5.398818850054554891e-02,-6.667463775249574676e-01,5.399003152855561677e-02,-6.667690586443606460e-01,5.399003152855561677e-02,-6.667690586443606460e-01
3.000000000000000000e+00,4.704000268662240913e-02,-6.633308322001485458e-01,4.703837341804404520e-02,-6.633078571994686090e-01,4.703999810069797033e-02,-6.633306712038965491e-01,4.703999810069797033e-02,-6.633306712038965491e-01
3.020000000000000018e+00,4.016332948034097988e-02,-6.598068598364029702e-01,4.016192349155620067e-02,-6.597837621234144967e-01,4.016332722856078008e-02,-6.598067049882110346e-01,4.016332722856078008e-02,-6.598067049882110346e-01
3.040000000000000036e+00,3.336117970940850885e-02,-6.561986524208748284e-01,3.335999939087936489e-02,-6.561754361123618429e-01,3.336117965942757280e-02,-6.561985037703451651e-01,3.336117965942757280e-02,-6.561985037703451651e-01
3.060000000000000053e+00,2.663469011773500830e-02,-6.525075704954400591e-01,2.663373778052272392e-02,-6.524842397470672628e-01,2.663469213596476176e-02,-6.525074280899301193e-01,2.663469213596476176e-02,-6.525074280899301193e-01
3.080000000000000071e+00,1.998497319153024268e-02,-6.487349909399823256e-01,1.998425106669578233e-02,-6.487115499447845268e-01,1.998497714318486079e-02,-6.487348548245039925e-01,1.998497714318486079e-02,-6.487348548245039925e-01
3.100000000000000089e+00,1.341311691396467227e-02,-6.448823065397675247e-01,1.341262715199715086e-02,-6.448587595266304096e-01,1.341312266311187919e-02,-6.448821767568859720e-01,1.341312266311187919e-02,-6.448821767568859720e-01
3.120000000000000107e+00,6.920184527594857790e-03,-6.409509255490154489e-01,6.919929197868652029e-03,-6.409272767811478033e-01,6.920191937210933009e-03,-6.409508021387479992e-01,6.920191937210933009e-03,-6.409508021387479992e-01
3.140000000000000124e+00,5.072143046136396230e-04,-6.369422712508087114e-01,5.071953948741287277e-04,-6.369185250242063168e-01,5.072232366426340962e-04,-6.369421542505244727e-01,5.072232366426340962e-04,-6.369421542505244727e-01
3.160000000000000142e+00,-5.824780675017028272e-03,-6.328577815134804885e-01,-5.824561259138721567e-03,-6.328339421553835775e-01,-5.824770359599784793e-03,-6.328576709577996562e-01,-5.824770359599784793e-03,-6.328576709577996562e-01
3.180000000000000160e+00,-1.207481273749540056e-02,-6.286989083436228531e-01,-1.207435317293913818e-02,-6.286749802109655727e-01,-1.207480117861512749e-02,-6.286988042643176788e-01,-1.207480117861512749e-02,-6.286988042643176788e-01
3.200000000000000178e+00,-1.824191982111877941e-02,-6.244671174358603638e-01,-1.824121836782270634e-02,-6.244431049137142420e-01,-1.824190715952936359e-02,-6.244670198617566781e-01,-1.824190715952936359e-02,-6.244670198617566781e-01
3.220000000000000195e+00,-2.432516567418176526e-02,-6.201638877195300159e-01,-2.432422067548122360e-02,-6.201397952195418783e-01,-2.432515205138902417e-02,-6.201637966764106391e-01,-2.432515205138902417e-02,-6.201637966764106391e-01
3.240000000000000213e+00,-3.032364004478662819e-02,-6.157907109024166603e-01,-3.032244992778293166e-02,-6.157665428612409952e-01,-3.032362560296769996e-02,-6.157906264129258123e-01,-3.032362560296769996e-02,-6.157906264129258123e-01
3.260000000000000231e+00,-3.623645886252079701e-02,-6.113490910116847754e-01,-3.623502213842184211e-02,-6.113248518894113248e-01,-3.623644374443892036e-02,-6.113490130952349277e-01,-3.623644374443892036e-02,-6.113490130952349277e-01
3.280000000000000249e+00,-4.206276441195952454e-02,-6.068405439321562511e-01,-4.206107967639056977e-02,-6.068162382107337161e-01,-4.206274876087501974e-02,-6.068404726048374220e-01,-4.206274876087501974e-02,-6.068404726048374220e-01
3.300000000000000266e+00,-4.780172549795413256e-02,-6.022665969420802901e-01,-4.779979143123909424e-02,-6.022422291237357062e-01,-4.780170945753126760e-02,-6.022665322165702273e-01,-4.780170945753126760e-02,-6.022665322165702273e-01
3.320000000000000284e+00,-5.345253760266884674e-02,-5.976287882465404211e-01,-5.345035297008292330e-02,-5.976043628521966466e-01,-5.345252131687849156e-02,-5.976287301320204470e-01,-5.345252131687849156e-02,-5.976287301320204470e-01
3.339999999999999858e+00,-5.901442303433229036e-02,-5.929286665086523911e-01,-5.901198668632468003e-02,-5.929041880763414873e-01,-5.901440664735064373e-02,-5.929286150107223596e-01,-5.901440664735064373e-02,-5.929286150107223596e-01
3.359999999999999876e+00,-6.448663106767250908e-02,-5.881677903786933781e-01,-6.448394194005996338e-02,-5.881432634619692124e-01,-6.448661472377624493e-02,-5.881677454992936260e-01,-6.448661472377624493e-02,-5.881677454992936260e-01
3.379999999999999893e+00,-6.986843807600502665e-02,-5.833477280213200666e-01,-6.986549519013587894e-02,-5.833231571876685839e-01,-6.986842191946267266e-02,-5.833476897586534760e-01,-6.986842191946267266e-02,-5.833476897586534760e-01
3.399999999999999911e+00,-7.515914765495036731e-02,-5.784700566410179157e-01,-7.515595011783943180e-02,-5.784454464702669663e-01,-7.515913182990985320e-02,-5.784700249894780821e-01,-7.515913182990985320e-02,-5.784700249894780821e-01
3.419999999999999929e+00,-8.035809073775554423e-02,-5.735363620059352741e-01,-8.035463774218971900e-02,-5.735117170886639970e-01,-8.035807538812873851e-02,-5.735363369560368962e-01,-8.035807538812873851e-02,-5.735363369560368962e-01
3.439999999999999947e+00,-8.546462570219988397e-02,-5.685482379702517797e-01,-8.546091652681367390e-02,-5.685235629061999862e-01,-8.546461097154349484e-02,-5.685482195085660440e-01,-8.546461097154349484e-02,-5.685482195085660440e-01
3.459999999999999964e+00,-9.047813846906653523e-02,-5.635072859952300339e-01,-9.047417247838945853e-02,-5.634825853917078131e-01,-9.047812450045999988e-02,-5.635072741043237743e-01,-9.047812450045999988e-02,-5.635072741043237743e-01
3.479999999999999982e+00,-9.539804259216498605e-02,-5.584151146691023193e-01,-9.539381923663874108e-02,-5.583903931394020859e-01,-9.539802952808541792e-02,-5.584151093274817290e-01,-9.539802952808541792e-02,-5.584151093274817290e-01
3.500000000000000000e+00,-1.002237793398913640e-01,-5.532733392259416849e-01,-1.002192981558583801e-01,-5.532486013877507824e-01,-1.002237673220855441e-01,-5.532733404080012463e-01,-1.002237673220855441e-01,-5.532733404080012463e-01
3.520000000000000018e+00,-1.049548177683173600e-01,-5.480835810636713878e-01,-1.049500783779801216e-01,-5.480588315374872455e-01,-1.049548069376712023e-01,-5.480835887396455774e-01,-1.049548069376712023e-01,-5.480835887396455774e-01
3.540000000000000036e+00,-1.095906547857995184e-01,-5.428474672613569085e-01,-1.095856568971504685e-01,-5.428227106689055281e-01,-1.095906452822053706e-01,-5.428474813972800073e-01,-1.095906452822053706e-01,-5.428474813972800073e-01
3.560000000000000053e+00,-1.141308152091058542e-01,-5.375666300959396349e-01,-1.141255586158287649e-01,-5.375418710585967430e-01,-1.141308071713268424e-01,-5.375666506536077582e-01,-1.141308071713268424e-01,-5.375666506536077582e-01
3.580000000000000071e+00,-1.185748518110565780e-01,-5.322427065585557671e-01,-1.185693363923993049e-01,-5.322179496957727407e-01,-1.185748453765896604e-01,-5.322427334954958900e-01,-1.185748453765896604e-01,-5.322427334954958900e-01
3.600000000000000089e+00,-1.229223453596812315e-01,-5.268773378705963184e-01,-1.229165710802985201e-01,-5.268525877983293304e-01,-1.229223406646177269e-01,-5.268773711400400739e-01,-1.229223406646177269e-01,-5.268773711400400739e-01
3.620000000000000107e+00,-1.271729046488945802e-01,-5.214721689996547616e-01,-1.271668715586638243e-01,-5.214474303287993662e-01,-1.271729018277797107e-01,-5.214722085505173466e-01,-1.271729018277797107e-01,-5.214722085505173466e-01
3.640000000000000124e+00,-1.313261665206985895e-01,-5.160288481755147538e-01,-1.313198747545058775e-01,-5.160041255103468005e-01,-1.313261657063891363e-01,-5.160288939523807183e-01,-1.313261657063891363e-01,-5.160288939523807183e-01
3.660000000000000142e+00,-1.353817958789193809e-01,-5.105490264063290429e-01,-1.353752456564174256e-01,-5.105243243429500311e-01,-1.353817972024401739e-01,-5.105490783494426310e-01,-1.353817972024401739e-01,-5.105490783494426310e-01
3.680000000000000160e+00,-1.393394856944902005e-01,-5.050343569951363243e-01,-1.393326773198284574e-01,-5.050096801199259744e-01,-1.393394892848900390e-01,-5.050344150403975885e-01,-1.393394892848900390e-01,-5.050344150403975885e-01
3.700000000000000178e+00,-1.431989570022954850e-01,-4.994864950568669859e-01,-1.431918908638217802e-01,-4.994618479449435822e-01,-1.431989629865018654e-01,-4.994865591358350621e-01,-1.431989629865018654e-01,-4.994865591358350621e-01
3.720000000000000195e+00,-1.469599588895933451e-01,-4.939070970359892843e-01,-1.469526354595273310e-01,-4.938824842496757905e-01,-1.469599673922667993e-01,-4.939071670758905519e-01,-1.469599673922667993e-01,-4.939071670758905519e-01
